TotalSuspiciousRecords,DomainFetched,AttackCoverage,AttackRuntime (msec),AttackSpeed (domain per msec)
5,3,0.012096774193548387,4,0.75
5,2,0.008064516129032258,2,1.0
5,12,0.04838709677419355,18,0.6666666666666666
5,8,0.03225806451612903,12,0.6666666666666666
5,2,0.008064516129032258,2,1.0
5,2,0.008064516129032258,3,0.6666666666666666
5,10,0.04032258064516129,4,2.5
5,4,0.016129032258064516,3,1.3333333333333333
5,2,0.008064516129032258,3,0.6666666666666666
5,5,0.020161290322580645,7,0.7142857142857143
5,17,0.06854838709677419,24,0.7083333333333334
5,16,0.06451612903225806,23,0.6956521739130435
5,6,0.024193548387096774,9,0.6666666666666666
5,6,0.024193548387096774,5,1.2
5,6,0.024193548387096774,5,1.2
5,2,0.008064516129032258,1,2.0
5,2,0.008064516129032258,3,0.6666666666666666
5,4,0.016129032258064516,4,1.0
5,13,0.05241935483870968,19,0.6842105263157895
5,10,0.04032258064516129,14,0.7142857142857143
5,7,0.028225806451612902,7,1.0
5,4,0.016129032258064516,4,1.0
5,3,0.012096774193548387,2,1.5
5,7,0.028225806451612902,10,0.7
5,4,0.016129032258064516,4,1.0
5,12,0.04838709677419355,18,0.6666666666666666
5,2,0.008064516129032258,3,0.6666666666666666
5,3,0.012096774193548387,5,0.6
5,9,0.036290322580645164,15,0.6
5,10,0.04032258064516129,13,0.7692307692307693
5,8,0.03225806451612903,6,1.3333333333333333
5,3,0.012096774193548387,3,1.0
5,2,0.008064516129032258,5,0.4
5,2,0.008064516129032258,1,2.0
5,3,0.012096774193548387,4,0.75
5,2,0.008064516129032258,4,0.5
5,5,0.020161290322580645,6,0.8333333333333334
5,5,0.020161290322580645,8,0.625
5,4,0.016129032258064516,6,0.6666666666666666
5,4,0.016129032258064516,6,0.6666666666666666
5,2,0.008064516129032258,3,0.6666666666666666
5,2,0.008064516129032258,1,2.0
5,2,0.008064516129032258,3,0.6666666666666666
5,9,0.036290322580645164,5,1.8
5,2,0.008064516129032258,2,1.0
5,4,0.016129032258064516,6,0.6666666666666666
6,3,0.012096774193548387,4,0.75
6,4,0.016129032258064516,4,1.0
6,4,0.016129032258064516,3,1.3333333333333333
6,3,0.012096774193548387,2,1.5
6,7,0.028225806451612902,6,1.1666666666666667
6,5,0.020161290322580645,9,0.5555555555555556
6,5,0.020161290322580645,4,1.25
6,10,0.04032258064516129,6,1.6666666666666667
6,6,0.024193548387096774,5,1.2
6,4,0.016129032258064516,3,1.3333333333333333
6,4,0.016129032258064516,2,2.0
6,6,0.024193548387096774,4,1.5
6,12,0.04838709677419355,19,0.631578947368421
6,10,0.04032258064516129,15,0.6666666666666666
6,5,0.020161290322580645,3,1.6666666666666667
6,3,0.012096774193548387,2,1.5
6,3,0.012096774193548387,1,3.0
6,9,0.036290322580645164,8,1.125
6,13,0.05241935483870968,8,1.625
6,3,0.012096774193548387,3,1.0
6,4,0.016129032258064516,3,1.3333333333333333
6,17,0.06854838709677419,25,0.68
6,9,0.036290322580645164,15,0.6
6,3,0.012096774193548387,4,0.75
6,12,0.04838709677419355,18,0.6666666666666666
6,13,0.05241935483870968,12,1.0833333333333333
6,18,0.07258064516129033,16,1.125
6,3,0.012096774193548387,2,1.5
6,12,0.04838709677419355,16,0.75
6,11,0.04435483870967742,16,0.6875
6,3,0.012096774193548387,6,0.5
6,3,0.012096774193548387,2,1.5
6,5,0.020161290322580645,5,1.0
6,4,0.016129032258064516,6,0.6666666666666666
6,3,0.012096774193548387,2,1.5
6,9,0.036290322580645164,5,1.8
6,3,0.012096774193548387,5,0.6
6,3,0.012096774193548387,5,0.6
6,9,0.036290322580645164,13,0.6923076923076923
6,8,0.03225806451612903,13,0.6153846153846154
6,8,0.03225806451612903,14,0.5714285714285714
6,6,0.024193548387096774,4,1.5
6,5,0.020161290322580645,6,0.8333333333333334
6,8,0.03225806451612903,5,1.6
6,13,0.05241935483870968,9,1.4444444444444444
6,3,0.012096774193548387,4,0.75
6,17,0.06854838709677419,19,0.8947368421052632
6,15,0.06048387096774194,21,0.7142857142857143
6,13,0.05241935483870968,19,0.6842105263157895
6,5,0.020161290322580645,3,1.6666666666666667
6,14,0.056451612903225805,21,0.6666666666666666
6,3,0.012096774193548387,5,0.6
6,6,0.024193548387096774,4,1.5
6,6,0.024193548387096774,9,0.6666666666666666
6,5,0.020161290322580645,3,1.6666666666666667
6,5,0.020161290322580645,6,0.8333333333333334
6,4,0.016129032258064516,5,0.8
