aacc.edu,65.61.162.206
aamu.edu,10.254.12.48
acu.edu,52.43.39.48
acu.edu.au,192.148.223.248
adelaide.edu.au,129.127.149.1
adelphi.edu,192.147.12.33
afit.edu,129.92.252.254
agnesscott.edu,71.16.117.34
aic.edu,64.39.13.171
aiub.edu,172.16.16.16
alamo.edu,209.184.119.196
alasu.edu,192.111.112.176
albion.edu,147.124.1.89
alc.edu.au,180.235.130.165
alfred.edu,149.84.235.23
allencol.edu,147.106.6.9
alma.edu,96.36.28.87
alverno.edu,205.213.28.4
ambassador.edu,208.113.134.149
amc.edu.au,131.217.3.141
american.edu,147.9.4.186
amherst.edu,148.85.136.34
andrews.edu,143.207.1.30
angelo.edu,168.58.229.11
antioch.edu,198.61.151.123
antiochla.edu,198.61.151.123
antiochne.edu,198.61.151.123
anu.edu.au,130.56.60.81
appstate.edu,152.10.1.83
apsu.edu,198.146.56.2
apu.edu,199.184.237.186
apus.edu,63.236.101.14
aquinas.edu,192.92.13.129
arcadia.edu,166.78.84.195
armstrong.edu,54.172.237.58
asaub.edu.bd,72.167.131.146
ashland.edu,54.227.241.6
assumption.edu,64.207.183.107
asu.edu,104.16.50.14
atc.edu,199.4.246.51
atishdipankaruniversity.edu.bd,192.99.33.95
atu.edu,23.92.234.17
aub-bd.org,198.38.82.11
auburn.edu,131.204.138.170
augie.edu,192.103.41.7
augsburg.edu,141.224.64.97
augusta.edu,199.79.49.154
augustana.edu,143.226.66.16
aum.edu,199.80.9.64
aurora.edu,40.141.207.36
aust.edu,103.23.42.70
austincc.edu,206.77.150.222
austincollege.edu,198.151.179.59
avila.edu,52.11.81.187
avondale.edu.au,203.28.150.102
azwestern.edu,198.60.183.184
babson.edu,155.48.7.191
baker.edu,67.227.155.89
bakeru.edu,104.197.240.156
ballarat.edu.au,54.153.230.160
bard.edu,192.246.229.231
barnard.edu,107.21.241.248
barry.edu,191.236.16.34
bastyr.edu,66.194.68.17
bates.edu,134.181.131.51
bau.edu.bd,103.72.109.11
baylor.edu,129.62.3.230
bc.edu,136.167.235.243
bcm.edu,128.249.192.160
bellevue.edu,50.57.5.28
belmont.edu,75.103.116.44
beloit.edu,162.214.0.143
bemidjistate.edu,199.17.178.11
bennington.edu,54.157.48.246
bentley.edu,184.73.245.212
berea.edu,146.20.26.133
berklee.edu,107.22.233.195
bethanywv.edu,50.28.56.162
bethel.edu,140.88.101.185
bethelks.edu,70.165.102.12
bgctrustbd.org,67.225.146.147
bgsp.edu,162.144.140.17
bgsu.edu,129.1.11.8
bhsu.edu,206.176.39.162
biola.edu,199.19.144.31
bju.edu,158.158.239.159
bloomu.edu,148.137.10.10
bluffton.edu,205.133.211.2
boisestate.edu,132.178.214.91
boisestate.edu,132.178.214.91
bond.edu.au,131.244.5.131
bou.edu.bd,69.167.165.16
bowdoin.edu,139.140.238.119
bowiestate.edu,131.118.190.62
bracu.ac.bd,103.248.13.36
bradley.edu,52.2.159.182
brandeis.edu,129.64.99.200
brenau.edu,104.155.176.55
bridgewater.edu,147.138.10.86
broward.edu,209.87.192.35
brown.edu,128.148.252.151
brur.ac.bd,64.202.123.86
bryant.edu,66.206.128.6
bsc.edu,208.118.240.28
bsmmu.edu.bd,114.130.54.13
bsmrau.edu.bd,108.179.234.13
bsu.edu,147.226.7.15
bu.edu,128.197.236.4
bu.edu.bd,43.255.154.47
bubt.edu.bd,173.236.169.67
bucknell.edu,134.82.10.249
buet.ac.bd,203.112.220.200
bup.edu.bd,184.107.100.66
butex.edu.bd,192.185.113.157
butler.edu,104.130.111.180
bvu.edu,52.7.104.184
byu.edu,128.187.16.100
byuh.edu,74.214.64.166
byui.edu,157.201.130.149
calcoast.edu,104.25.79.6
callutheran.edu,199.107.196.49
calpoly.edu,129.65.71.110
calsouthern.edu,104.20.53.153
calstate.edu,137.145.34.30
calstatela.edu,130.182.1.116
caltech.edu,131.215.239.141
calvin.edu,34.199.23.182
cameron.edu,198.17.223.3
campbell.edu,34.192.232.40
campbellsville.edu,69.174.241.163
canberra.edu.au,137.92.97.52
canisius.edu,138.92.8.97
cdu.edu.au,138.80.10.69
cityuniversity.edu.bd,108.167.180.85
cnuas.edu,68.177.108.252
columbusstate.edu,168.26.226.206
cou.ac.bd,103.227.176.7
cqu.edu.au,202.9.95.188
csu.edu.au,137.166.4.30
csub.edu,136.168.25.70
csub.edu,136.168.25.70
csuchico.edu,132.241.82.118
csudh.edu,155.135.55.165
csufresno.edu,23.253.180.149
csuglobal.edu,72.47.235.89
csuhayward.edu,134.154.136.39
csulb.edu,134.139.19.49
csum.edu,54.67.96.104
csun.edu,130.166.238.195
csus.edu,130.86.9.189
csusb.edu,139.182.74.174
csusm.edu,144.37.12.45
csustan.edu,130.17.110.80
cuet.ac.bd,115.127.51.2
curtin.edu.au,134.7.2.22
daffodilvarsity.edu.bd,203.190.10.99
deakin.edu.au,128.184.216.200
diu.ac.bd,173.231.54.136
diu.net.bd,69.160.38.3
dliflc.edu,204.102.229.62
du.ac.bd,216.239.32.21
duet.ac.bd,203.112.196.165
eastdelta.edu.bd,174.141.231.14
easternuni.edu.bd,180.92.225.146
ecu.edu.au,139.230.131.30
everest.edu,104.239.247.138
ewubd.edu,27.147.131.42
